,text,words_with_errors,sentence_with_errors
209,ده,دئه,هد
210,ثانيا انا مش,ثايا اا شم,ثانيا انا مش
211,اكتشاف مواقع الما بيقوم بيها,اكتاف موقع ملاا بمقوي بئيها,اكتشاف مواعق الما بيقئوم بيها
212,البيوت اللي كانت التربه اللي تحتها سخنه والعالم كله كان محتار محلش اللغز ده غير,البيوئت الي كنت الرتبه الي تحته سنخه والعائلم هلك كنا محتا محل زللغا هد غيئر,البيوت اللي كانت التربه الي تهتحا سنه واعالم كله كان محتار محلش اللغز ده غير
213,وجود الجيولوجي هوه اللي بيدي المهندس المكان اللي يشتغل منه المهندس بيقوم بس بانجاز العمل يعني الاتنين مكملين,وئجود ائلجيولوجي هوئه لالي بييد الدهنمس الئمكان الل يلتغش نمه المهنس بيئقوم سب بانجائز المعل يعن الاتين نكمليم,وئجود الجيولوجي هوه اللي بيدي المهندس المكان الئلي يئشتغل منه المهندس بئيقوم بس بانجاز العمل يعين الاتنين مكنليم
214,ازا كانت نقابه العلميين مش واخده حقها فتاخده عاجلا ام,از كئانت نقاب العميين مئش واخد حقا فاخده عاجال ا,ازا كانت نقابه العلميين شم واخده حقها فتاخد عاجلا ام
215,وازا لحد دلوقتي حد بيستهون بالجيولوجيين فانا مش هستغر الكلام من ناس في بلد الناس الكويسه مش بتاخد حقها دي ظاهره في البلد,وائزا دحل دلويتق ح بيستهو بالجيولوئجيين فانا مئش هسئتغر الكام مئن نس يف بلئد النس اكويسه مئش بتاد حئقها يد ظاهه يف لابلد,وازا لحد دلوقتي حد بيستهون بالجيولوجيين فانا مش هتغر الكلام من نس في بلد انلاس الكويسه مش تباخد حقها دي ظاهره في البلد
216,مع احترامي لكل مهندس شريف فعلا نقابه المهندسين لمت من امثالك,مئع ارتحامي لل مهدس شئريف فلعا نقباه المهئندسين لم م اثالك,مع احترامي لكل مهندس شريف فعئلا نقابه المهندسين لمت من امثالك
217,يا حج يحيي يابتاع شبرا انت راجل علي المعاش وفاضي بلاش تولعها انت ليل نهار قاعد,يئا حئج يحي يابتعا شبا تنا رجل عيل امعاش وفاض باش توعها ات لئيل نراه قاد,يا ح يحيي يابتاع شبئرا ائنت راجل علئي المعاش وفاضي بلاش تولعها تنا ليل نهار قاعد
218,انا بس عاوز اقول حاجه بالنسبه للانضمام لنقابه المهندسين ده كلام فارغ احنا عندنا نقابه نعتز بيها نقابه العلميين هي صحيح مش زي نقابه المهندسين لاسباب ظالمه وفيها نوع من الجهل بس هي برضه بيت العلميين حاجه كمان احنا عمليين نهاجم بعض ومنظرنا وحش جدا وكاننا جهله مع احترامي للجميع يجب الفصل في الكلام المهندس له تخصصه وهو بارع فيه والعلمي له تخصصه وهو ايضا بارع به,ان ب عاوئز الوق حئاجه بالنسبئه للانضام لنقاه المهيدسنن د كلئام فارئغ نحاا عدنا نقاهب نعئتز بها نقائبه ائلعلميين ه صيحح م يز نئقابه امهندسين لاسابب ظالئمه وفيهئا نئوع مئن ائلجهل ب يه برهض بي اللميين حاه كان احنئا نملييع نهاج بض ومنظرئنا وحئش جد وكانن جههل م ايترامح للجمي بجي اصفلل ف ااكللم المهدس ل تخصه ووه عارب فه واعلمي ل تخصه وهئو اياض باع ب,انا بس عاوز اقول حاجئه بالنسبه للانضمام لنقابه المهندسيئن ده كلام فاغ احنا عندنا نقابه نعتز بهيا نقابه العلميين هئي صئحيح مش زئي نقابه المهندسين سالباب ظالمه وفيها نوع نم الجهل بس هي برضه بيت العلميين حاجه كمان احنا عمليين نهاج بعض ومنظرنا وحش جدا وكاننا جهله مئع احترامي لليمجع يج الفصل يف كلالام المهندس هل تخصصه وهو باع فيه والعلمي لئه تخصصه وو ايض بارع به
219,ولكن لي عتاب علي الاخ بتاع التصميم ده الي بيقول ان احنا مابنفهمش ومانعرفش نعمل تصميم مثلا طيب انت تعرف تعمل علاج للسرطان مثلا بلاش ده علشان ماتهش انت تعرف تتعرف علي اي ماده حد يجبهالك مثلا بص الامثله كتير ولكن عاوز اقول ان مش كلنا علما فينا الي دخل الكليه وعدي منها من غير مايفهم حاجه وانتم كذلك فيكم الي دخل الكليه ومازال فيها او اتخرج منها وهو مش فاهم حاجه والكلام الي بقولهولك ده عن تجربه لاني عندي اصحاب كتير خرجين هندسه باقسام مختلفه في منهم الي كده ومنهم الي كده,وكلن ل عتائب عل الئاخ بتا التصميئم هد لاي بقول ائن نحاا مئابنفهمش شمانعرفو نئعمل تمميص مثلئا طيئب تنا عترف تعل عاج للسرطا لثما بئلاش د عشان مائتهش ائنت تعف تتعف عئلي ائي مادئه حئد يجبهال مثئلا صب الامثلئه كتي ولك عئاوز اقئول ائن شم نلكا علم فاني ائلي دئخل الكيه ويدع منه نم غئير مايفم حئاجه وانم كئذلك فيمك اي لخد الكليئه ومازائل هيفا ائو اترج منا وئهو م فاه جاحه والكام اي بقووهللك هد عئن تجبه لاين عدي اصحائب كتر خرجئين نهدسه باقسئام مختفه ف مئنهم اي كدئه ومنهئم ال كه,ولكن لي عتاب يلع الاخ بعات التصميم هد الي بيقول ان احنا مابنفئهمش ومانعرفش نئعمل تصميم مثلا طيب انت تعرف تعل علاج للسرطان لثما بلاش ده علشان ماتهش تنا تعرف تتعرف علي اي ماده دح يجبهئالك مثلا بص الامثلئه كتير ولكن عاوز اقول ان مش كلنا علما فينا الي دخئل الكليه وعد منها من غير مايفهم هاجح وانتم كذلك فيمك الي دخل الكليه ومازال فيها او اتخرج منها وهو مش فاهم حاجه والكلام الي بقولهولك ده عن تجربه لاني عدي اصحاب كتير خرجين هندسه بامساق هختلفم يف مهم الي كده ومنهم الي كد
220,وعتاب تاني علي الاخ الي بيقول احنا بندرس ماده وسعت منك شويتين تمام وعاوز اقولك حاجه كمان انت فرحان وبتقول احنا بناخد كيميا ورياضه روح شوف مين الي بيدرسهالك هتلاقيه دكتور من علوم ولو مش مصدق اسال في كليه الهندسه ببورسعيد وهندسه البترول بالسويس انا ليه زميلي مخلصيين علوم وبيدرسوا هناك وبنعمل الماجيستر مع بعض وانا شخصيا جالي طلبه من هندسه كانوا عاوزني اديهم كرسات في الكيما وانا رفضت مش علشان هما من هندسه ولكن علشان انا مابديش كورسات,وعتا يانت عئلي الئاخ ائلي بيول احنئا بندئرس امده وسعئت منئك تويشين تامم اعووز اولك حاج مكان نات فئرحان وبتقو حانا بنخاد كييا وراضه روئح شفو نيم الئي بيدرسهلك هتلايه دئكتور م علوئم وو م مصق اسا فئي هليك اهلندسه ببورسعيئد وهدنسه البتئرول بالسسيو اان لئيه زيلي مخصليين علئوم وبسدريوا هنئاك وبنعل الماجيئستر مئع عبض واا شخيصا جالئي طئلبه م هندهس كاوا عازني اديه كسات ف الكما اانو رضت شم علان ها مئن هندئسه وكلن علشن ائنا مائبديش وكرسات,وعتاب تاني علي الاخ اي بيقئول احنا بندرس مادئه وسعت نمك شويتيئن تمام وعاوز اقولك حاجه كمان انت فرحنا وبتقول احنا بناخد كيميا ورياضه روح شو مين الئي بيدرسهالك هتلاقيه دكتور من علم ولو مش مدق اسال في كيه الهندسه ببورسعيد وهندسه البترول بالسويس انا ليه زمييل مخلصيين علوم وبيدرسوا هناك وبنعمل الماجيستر مع بعض واا شخصيا جالي طلبه مئن هندسه كانوا عاوزني اديهم كرسات في الكئيما وانا رفضت م علشان هما من هندسه ولكن علشنا اا مابديش كوئرسات
221,واخيرا انا عاوز اقول ان كل واحد له مجاله الي هو بارع فيه ولا يستطيع احد انه ينفسه فيه بل بالعكس كلنا بنكما بعض بتاع علوم بيكمل بتاع هندسه وبتاع هندسه بيكمل بتاع طب ونحن منظومه مكتمله المفروض نبقه كده مش نعد نعاير بعض اناجايب وانا باخد كام وانا احسن منك علشان انا مهندس لا انا حبيت اقول راي وانا اسف لو ضيقت حد انا فلما مابشارك في موضوعات ولكن الموضوع استفزني,واخئيرا ان عواز ائقول ا لك وادح لئه مجهلا ايل ه باعر فه وال يستيع ادح اه نيفسه يفه ب بائلعكس لكنا باكمن بض باع ملوع ليكمب بعات هنسده وتاع هنسده بيكم بتع طئب ونح منظوم مكئتمله المفرضو نقبه كه مئش عند نعار بئعض اناجايئب اانو داخب كائم واا نحسا مكن علان اا مهدس لئا ان حبيئت قاول ري وائنا ائسف ول ضقت دح ائنا فما مابشار ف موضوعائت ولكئن الموضوئع يستفزنا,واخيرا انا اعوز اقول نا كئل واحد له مجاله ال هو بارع فيه ول يستطيع احد انه ينفسه يفه بئل بالعكس كلنا بنكما بئعض بتاع علوم بيئكمل باتع هندسه ابتوع هندسه بيكمل بتاع طب ونحن منظومه مكتمله المفروض نبقه كده مش نعد نعاير بعض اناجايب وانا باخد كام وئانا احسن منك شلعان انا مهندس لا انا حبيت اقول راي وانا اسف لو ضيقت حد ان فلما مابشارك يف ووضمعات ولكن الموضوع استفزني
222,الجاهل اللي شايف ان خريج علوم اقل منه ده عنده عقده نقص ولازم يبص حوليه ويشوف الميكانيكيه فين الجيولوجين,اجاهل اللئي شايئف نا خجير عئلوم الق مه د عدنه قعده نقئص ولزم يب حولي ويوف الميكانيكئيه في الجيولجين,الجائهل ائللي شايف ان خريج ولعم اقل منه ده عده عقده نقص ولازم يبص حوليه ويشوئف الميكائنيكيه فين الجيولوجين
223,هو انت فاكر نفسك مهندس اصلا ده نقابتكم بتستعر منكم المهندسين بيتعتبروكم عاله عليهم وبعدين هو سيادت اعتبرا نفسك من عليه القوم اخل هندسه خاصه ليه ديه لا بتاخد لا مجموع ولا مصاريف وبعدين لما حضرتك تعمل دراسه مقارنه بين كلييتين ابقي تعالي واحنا,ه ات فاك نفس مئهندس صالا دئه تقابنكم بتتسعر نمكم النهمدسين بيتئعتبروكم عهلا عليه ودعبين وه سيدت اعتبئرا نئفسك مئن هليع ائلقوم ائخل هندس اخصه لي دي ال بتخد لئا مجمو وال رصاميف وبعين ملا حضرتئك معتل دارسه رقامنه بي كليتين اقبي تعيلا واحا,هو انت فار نفسك مهدس اصلا ده نقاكتبم بتستعر منم المهندسين بيتعتبروكم عاله عليهم وبعدين هو سيادت اعتبرا نفسك من عيه القوم اخل هندسه خاصه لي ديئه لا بتدخا لا مجموع وئلا مصايف وبعدين امل تضرحك تعمل دراسه مقارنه بين كلييتين ابقي تعالي واحا
224,يعني لما تقول مهندس بيدرس كذا جيب بقي الجيويولوجي بيدرس,يعني لام تقئول مئهندس يبدرس كئذا بيج بئقي الجووييلوجي بيدرئس,يينع لما تقول مهندس بيدرس كئذا جيب قبي اجيويولوجي بيدرس
225,كفانا فخرا ان من رفعوا اسم مصر خارجا تفوقوا نبغوا كانوا علوم ولا ديه كمان هتنامف,كئفانا فئخرا نا نم رفعاو سام صمر خاجا قفوتوا وبغنا كوناا لعوم ول دي كمن هتنمف,كفانا فخرا ان من رفعوئا اسم مصر خارج تفوقوا نبغوا كانوا لعوم ولا ديه كان هتنامف
226,مش هقوللك,مئش هكوللق,شم هوللك
227,بس خلينا في الباز حجي دول علوم يا,بئس خينا يف الئباز يجح ودل عئلوم اي,بس خنيلا في الزاب حئجي دو لعوم يا
228,متهيالي انتم اللي متطفلين علي مهنه,متيهالي انم الل متطفلن لعي مهنئه,متهيالي انت اللي متطئفلين عل مهنه
229,وبعدين نرفض بشده انضمام علميين وجيولوجيين مصر لنقابه اللي ملهمش نقابه وبعين اتشطروا فكوا لاحصار عن,وبعدئين نفرض بشئده اضمام عئلميين وجيلوجيين مصئر لنقاهب اللئي ملمهش نقباه وئبعين اتشطرا وكفا ااحصلر عئن,وبعدين نرفض بشده انضمام علميين وجيولوجيين مصر لنقابه اللي ملهمش نقابه وبعين اتطروا فكوا لاحصار عن
230,الحمد لله انا بعدج ما اشتغلت جيلوجي اخدن كورسات في الهندسه زادت قيمه كليتي عندي اضعاف مضاعفه لاني عرفت فعلا ان هندسه من غيرنا لا,ائلحمد لله اان بعدئج مئا شاتغلت جيلوي خادن كورست يف اهلندسه زدت قيه كلئيتي عيدن اضاف مضاعه نالي ترفع فعئلا ائن هندسئه نم غيرا ال,الحمد للئه انا بدج ما اشتغلت ييلوجج اخدن كورسات فئي الهندسه زادت قيمه كليتي عندي اضعاف مضاعفه لاني عرفت فعلئا ان هندسه نم غيرنا لا
231,طبعا,طبئعا,طبعا
232,ليه,له,ليه
233,عشان بتاخد من مجموع اعلي من,نشاع تباخد نم مجعوم اعئلي مئن,عشان بتاخد نم مجئموع اعلي من
234,علوم بيولوجي بتاخد تقريبا من الي,عمول بيلووجي بتاخئد تقيبا نم ال,عمول بيولوجي بتاخد تقريبا مئن الي
235,الله دا بالمنطق كده يبقي علوم بيولوجي,الله اد نالمبطق كئده يبي علوئم بيوئلوجي,الله دا بالمنطق دكه يبقي علوم بجولويي
236,اظن كدا,اظ كدئا,اظن كدا
237,حد عنده اعتراض,دح هندع اعترئاض,حد عنده تعاراض
238,معلش نسيت اقول,معل نئسيت اقوئل,معلش نسيت اول
239,كمان في القسم اللي انا شغال فيه في كيميايين,كئمان فئي ائلقسم اليل اا شغل في فئي كيمايين,كمان في السقم اللي انا شغال فيه يف كيميايين
240,الحمد لله مجموعي في الثانويه العامه اعلي من المهندسين في منهم اللي جايب وكده,حلامد لل مجمئوعي يف الئثانويه ائلعامه ايلع نم امهندسين يف نمهم الي جاب كوده,احمد لله يجموعم فئي الثانويه العامه اعلي نم المهندسين فئي منمه ايلل جايب وكده
241,يعني المفروض انا اللي اتتنك,يني المفرو ناا الئلي ائتتنك,يعني المفروض انا للاي اتتنك
242,ياللي كنتو بتخافو تمشو جنب فصول,يالي كنوت بتخافئو تشمو جئنب فصلو,ياللي كنتو بتخافو تمشو جنئب فصول
243,مين ماجي الحكيم جايبه النصايح دي منين لا دي خبرات شخصيه ولا,من مجي ائلحكيم هايبج الناصيح دئي منن ال د خبرا شخيه ول,من ماي الحكيم جايبه الئنصايح دئي منين ال يد خبرات شخصيه وئلا
244,كل الكلام ده بجد حقيقي بس ممكن ماكناش واخدين بالنا منه شكرا,لك الئكلام هد بجئد حققيي بئس كممن ماكاش داخوين بالا مه شكر,كل الكلام ده بجد حقيقي بس ممكن ماكناش واخنيد بالنئا منه شكرا
245,الرقيقه,الرقيئقه,الرقيقه
246,استاذه ماجي الحكيم خبيره اتيكيت معروفه موجوده علي اليوم السابع من سنه وفي نجوم اف ام علي طول وكلامها عاقل قوي ورزين,ااتسذه امجي الحيكم خبره اتيكت معرئوفه مووده عئلي الويم الساع نم سه فوي نموج ائف ائم لعي طو وكلاما عائقل وقي وزين,استاذه ماجئي الحكيم خبيره اتيكئيت معروفه مجوده علئي الئيوم السابع من سنه فوي نجئوم ا ام علي طول وكلامها عقال قوئي ورزين
247,كلام معقول بس ما يجاوبش السال الكلام ده نقلي لا ناتج عن خبرات شخصيه لو كان منقولا او ناتجا عن بحث ما فالواجب ذكر المصادر اما ان كان ناتجا عن خبرات شخصيه فمن الافضل الاشاره الي هذه التجارب تحليلها لا نشرها كمسلمات مختبره خاصه الكاتبه ليست كبيره سنا الي هذه الدرجه ربما نتقبل حديث بعض كبار السن كنصاح او كمسلمات ذلك لانهم اختبروها بانفسهم,كلم مئعقول سب ام يئجاوبش للساا الكئلام د نئقلي لئا ناتئج نع خبرائت شخصئيه لئو اكن منقولئا ا نتجا نع حبث ام فالوائجب ذر ادمصالر اا نا كئان ااتجن نع خرات شخصي فم فلااضل الاشراه ائلي هئذه تلاجارب تلليحها ال هشرنا كلسممات مختبر صاخه الئكاتبه ليس كبيرئه سئنا ال هذه الدره ربا نتبل يدحث عبض كار النس كنصح ا كمسلما لذك لئانهم ااتبروهخ بانفسئهم,كلام معقول ب ما يجاوبش السال ائلكلام ده نقئلي لا ناتج عن خبرات شصخيه لو كن منقول او ناتج عن بئحث ما فالواجب ذكر المصادر اما ان كان ناتجا عن خبرات شخصيه نمف الافضل الاشاره الي هذه التجارب تحليلها لا نشرئها كمسلمات مختبره خاصه الكاتبه ليست كبيره سنا الي هذه الدرجه ربما نتقبل حديث بعض كبار السن كنحاص ا كمسلمات ذلك لانهم اختبراهو بانفسهم
248,تصوري حضرتك انا مافيش ولا صديقه عندي بالشكل دا,تصوير حضترك انا مايش وئلا صديه عند بالئشكل د,تصوري حضرتك انا شافيم الو صديق عندي بالشكل دا
249,انا لن اذكر من هي ماجي الحكيم لان مش مشكلتنا انك لا بتسمع لا بتقرا مع انها ظهرت كثيرا من خلال الاذاعه التليفزيون ايضا قامت بتاليف كتاب في الاتيكيت حتي اذا كانت لم تقم بدراسه كافيه في هذا المجال اخذت موضوعاتها من خلال تجارب او خبرات شخصيه فلها الحق في ان نحترم رايها لانها لم تجبر احدا علي اخذ نصاحها التي من وجهه نظري نصاح عامه لكل شاب اليوم علي الاقل لم تكتم هذه النصاح داخلها بل قامت بنشرها لاستفاده الشباب منها او حتي الكبار الدنيا يا ما بتعلم اكتر من الكتب كمان ايضا كثيرا منا من شباب هذا الجيل في حاجه الي هذه النصاح فهي فعاله لكثيرين كانوا يجهلونها او يتعاملون مع المشكلات بشكل سطحي فاعتبرها او اعتبريها اختك شجعيها علي الخير طالما لم تضر بل تنفع شكرا لكي يا ماجي ربنا يوفقك لفعل الخير,انئا نل اذر نم يه مجاي الحيم لنا م مشكلئتنا اك ل ستبمع ال برقتا عم انه ظرهت كثيئرا م للاخ الاذاه التليفيون ايض قام بلاتيف اتكب فئي الاتييت يتح ااذ كائنت ل تمق ادربسه كهفيا يف هذئا المئجال اذت موضوعاتا مئن خلئال تئجارب وا خبات شئخصيه فلاه ائلحق فئي نا نحتئرم رايه لانه ل تبر ادا عئلي اخ نصاحئها الي نم وئجهه نظر نصح عامئه لكئل اشب ائليوم عل الاق مل تكت هئذه ائلنصاح لاخدها لب قمات بنشرئها لئاستفاده الشئباب مهنا ائو حئتي الكبا ادلنيا يئا م بئتعلم اكتئر مئن الكئتب نماك ايضئا كثئيرا من م شاب ها الليج فئي حجه الئي هذه الئنصاح هفي فعال لكيثرين كئانوا يجهلوها وا يتعالون م ائلمشكلات بئشكل سطئحي فئاعتبرها وا اعتبرئيها ائختك شعيها لعي الخئير طالما ل تض ب تفع شرا كلي ي مئاجي ربنئا يوفئقك لفع الير,انئا لن ائذكر من هي ماجي الحئكيم لان مش مشكلتنا ائنك لا بتسمع لا بئتقرا مع انها ظهئرت كثيرا م خلال الاذاعه التليفزيون ايضا قامت بتاليف كتاب في الاتيكيت حتي اذا كائنت لم تم بدراسه كافيه في هذ المجال اخذت موضوعاتها من خلال تجارب او خبرات شخصيه فلها الحق في ا نحترم راياه لانها لم تجب احدا علي اخذ نصاحها التي من وجهه نظري نئصاح عاهم لكل شب الويم علي الاقئل لم تكتم هذه النصاح دخلها بل اقمت بنشرها لاستفاده الشباب منها او حتي الكبار الدنئيا يا ما بعتلم اكتر من الكتب كما ايض كثيرا منا من شبئاب هذا الجيل فئي حاجه الي هذه النصاح فهي فعاه لكثيرين كانوا يجهلونها او يتعاملون م شلماكلات بشكل سطحي فابتعرها ائو اعتبريها اختك شجعيها علي الخير طالما ل تضر بل تنفئع شكرئا لئكي يا مئاجي ربنا يوفقك لفعل الئخير
250,حد يصحي الست الخبيره من,حئد يئصحي ائلست الخبئيره م,حد يصحي الست الخبيره مئن
251,علي فكره كل الكلام ده صح انا عندي صديقتين علاقتنا ببعض زي ما استاذه ماجي الحكيم قالت كده بالضبط دي اكنها بتوصفنا احنا اكثر من الاخوات لدرجه ان ولادهم عارفين اني خالتهم خالتهم الحقيقيه بتقول اني انا خالتهم مش هي,عيل فكرئه ك الكلائم دئه صئح ناا عندئي صدئيقتين علاتقنا ضبعب يز م اتاذه ماج الحئكيم قلات كئده بالضب يد اكها بتوصانف احئنا اكث م الاخوات لئدرجه ا ولاده عارفئين ان مالتهخ خائلتهم الحقيقيئه بتقل اي اا خالتئهم شم يه,علي فكرئه كل الكلام ده صح ان عند صئديقتين علاقتنا ببعض زي ما استاذه مائجي الحكمي قال كده بالضبط دي اكنها بتوصفنا احنا ارثك من الاخوات لدرجه ا ولادهم عارفين اني خالتهم خالئتهم الحقيقيه بتقول انئي انا خالتهم مش هي
252,انا حصلت معايه بعد المشاكل مع اصحابي يعني سو تفاهم بس لما اتصلحنه وارجعنا مرجعتش انا زي الاول ليهم ولا هما كمان يعني تحسي كده ان في برضو بينه انا نفسي نرجع زي الاول مش عارف اعمل معاهم ايه رغم اننا كنا مع بعض علي طول وبنحب بعض قوي قوي وانا بحبهم جدا وهما كمان بس لسه في بعض الحسسيه من الموقف الا حصل مش عارف اعمل ايه عشان نرجع زي الاول ارجو الافاده والرد علي هذا الاميل ولكي جزيل,ائنا حئصلت معيه بئعد الئمشاكل عم ابحاصي يعن سئو تفئاهم بئس لم اتصحنه وارعنا مرجعئتش ان يز ااول لهم الو هئما كنام يعي تحي كهد نا يف ورضب نيبه اا نفئسي جرنع ز اوالل شم عائرف اعمئل ماعهم ائيه رم ائننا كنئا عم بع عل وطل وبنحئب بضع قي قو وئانا بحبئهم ادج وما كئمان سب هسل يف ضعب الحسئسيه مئن الئموقف اا لصح م فارع لعما ائيه نشاع نرج ز الول ائرجو الافهدا والد عي هذئا المايل لوكي جيل,انا حصلت معايه بع المشاكل م اصحابي يعين سو تفاهم بئس لما اصلحنه ورجعنا مرجعتش ان زي الاول ليهئم ولا هما كمان يعني تحسي كد ان في برض بينه انا نفسي نرجع زي الاول مش عرف اعمل معاهم ايئه رغم اننا كنا مع بعض علي لوط وبنحب بع قوي قي وانا بحبئهم جدا وهما كمان بس لسئه في بضع الحسسيه من ائلموقف الا حصل مش عارف اعمل اي عشان نرجع زي الاول ارجو الافاده والرد علي هذا الاميل ولكي جزيل
253,اشكرك مش مهم هي مين المهم انه بتقول كلام صح ونفسي نبطل قله ذوق مع بعض لان الموضوع زاد جدا والاخلاق انعدمت ونشكرك علي هذا,اشكك شم مئهم هئي نيم املهم اه تبقول لكام ص ونسي لبطن قلئه قوذ عم بع لئان اموضوع زدا جدئا والاخلا انعدم وشكرك علئي اذه,اشكرك شم مهم هي مين المهم انه بتقول كلام ص ونفسي نبل قئله ذوق مع بعض لان الموضوع زاد جاد وئالاخلاق انعدمت وئنشكرك عل هذا
254,بص شوف الحزب الوطني بيعمل ايه,صب فوش زلحاب الوطئني بيعم ائيه,بص شوف الحزب الوطني بيعمل ايه
255,فين نفيين شكري مظهرتش ليه ولا معندهاش حاجه تقولها هيا مبتظهرش غير مع البرادعي ولا,فيئن نفئيين شكرئي مظهرت ليئه ول معندهش حاجئه تقولا هي مبتئظهرش غئير م علبراداي لوا,فين نفيين شكري مظهرتش ليه لوا معندهاش حاجه تقولها هيا مبتظهرش غير م البرادعي ول
256,كل الشعب يطالب باقاله الحكومه عاوزين ناس شعارها العطا والمصلحه العامه وليس الاخذ والاستفاده واستغلال المنصب للمصلحه الشخصيه عاوزين نحس بخير البلد لاهلها عاوزين اصلاح في كل المجالات تعليم صحه اسكان غذا نظيف مياه نظيفه مواصلات مرور امن احترام القانون احترام حقوق الانسان منع التعذيب في السجون اقتلاع الفساد ومعاقبه المفسدين وهم كثيرون,لك البعش يبالط باقئاله الكومه عئاوزين نا شئعارها العا وئالمصلحه ائلعامه ولي ائلاخذ وتلاسافاده وئاستغلال المنئصب لمصلحه الشخصئيه عائوزين حنس بئخير بلالد لئاهلها عوزين اصلح يف لك ائلمجالات تعلي صحئه اسان غئذا نئظيف مئياه نيفه موئاصلات مورر امئن ائحترام قلاانون امتراح حقئوق الانسنا نمع التعئذيب ف السجو اقتلئاع الفسد واعمقبه النفسديم وهئم ثكيرون,كل الشئعب يطالب باقاله الحكومه عاوزين نئاس اعشرها العاط والمصلحه العامه وليس ااخذ والاستفاده واستغلال المنصب للمصلحه الشخيه عاوزين نحس بخير البد لاهلها عاوزين اصلاح يف ك المجالات تعليم صحه اسكان غاذ نظيف مياه نظيفه مواصئلات مرر امن حاترام القانون احترام حقوق الانسائن منع التعذيب ف السجون اقتلاع الفساد ومعاقبه ائلمفسدين وهم كثيرون
257,انا حاسس ان احنا رجعين تاني لنظام ان فاتك الميري اتمرمغ في ترابه وبعد كده الناس هتموت بعض علشان وظايف,اان حئاسس ائن اانح رجعئين تانئي لنظا ائن كاتف الميي اترمغ يف براته وعبد كد النائس هئتموت عبض عئلشان وظايئف,انا حاسس ا احنا رجيعن تاني لنظام نا فاكت امليري اتمرمغ في ترابه وبعد دكه الناس هتموت بعض علشن وظايف
258,حزين عليك يا بلدي ولادك بينهشوكي ليست نهايه ولكنها بدايه النظام باقي لانه نظام قوي جدا ولا يخشي احد بالنسبه للحد الادني ده كلام تهريج في تهريج لان المشكله مش في الفلوس المشكله في الانتاج لان ببساطه ممكن الدوله تطبع فلوس تدي الناس لكن النتيجه هتبقي ايه ان الاسعار هتغلي بمقدار ذلك الحد الادني يبقي ماعملناش حاجه لان العرض الطلب سيختل ولو كان هذا النظام يريد ان يرضي الشعب علي حساب الوطن لكان فعل ذلك من زمان لكنه نظام وطني يخاف علي,حنيز علئيك يئا بئلدي الودك بينئهشوكي لسيت نهئايه ولكنه بئدايه الظام باق لانئه مظان قئوي دجا وئلا يخش ادح بالسبه للحد الادني د كلم تهرج فئي جهريت الن للمشكاه مئش فئي الفلئوس المكشله فئي الاتناج لا بباطه مكن الدوئله تطب فلسو تد النئاس لكئن هلنتيجا هبقي ايئه ائن ااسعار لتغهي بمقراد كلذ الئحد ادالني يبي مئاعملناش حجاه لا اعلرض الطلب سيتل وو كئان هذئا المظان يرد ا يئرضي الشب يلع حاب اولطن لكا فع ذئلك م مزان لنه نئظام وطئني يخئاف يلع,حزين عليك يئا دلبي ولادك بينهشوكي سيلت نهايه وهكنلا بدايه النظام باقي لانه نظام قيو جا ولا يخشي احد بالنسبه لحد الداني ده كلام تهريج في تهريج لان المشكله مش في الفلوس للمشكاه في الانتاج لان ببساطه ممكن الدوله تطبع فلوس تدي الناس لن النتيجه هتبيق ايه نا الاسعار هتغلي بمقدار ذئلك الحد الادني يبقي ماعلناش حاجه لئان العرض الطلب سيختل ولو كان هذا النظما يريد نا يرضي الشعب علي حسئاب الوطن لكان فعل ذلك من زمان لكنئه نظام وطني يخاف علي
259,بسم الله ما شا الله يقولك الف ميتين مش راضين يبلد انتشر فيها الفقر البطاله قلت الجواز بلاوي الدنيا كلها يقولك مش عايزين تغيير اه خلينا كده لما بكره ناكل النجيله احسن,مسب اهلل مئا شئا الئله يقوئلك الئف مئيتين مئش راضن يدلب انئتشر فها الئفقر اللطابه قلئت الجزاو البوي الدنا كلهئا يقولئك مئش عايزن تغيي ائه نليخا كد لم بئكره لاكن الجيله احنس,بسم الهل ما شا الله يقولك الف ميتين مش راضين بيلد انتشر فيها الفقر البطاله لقت الجواز بلائوي الدنيا كلها وقيلك مئش عايزين تغيير اه خلينا كده لما بكره ناكل النجيله احسن
260,عقبال,علباق,عقبال
261,,,
262,لكن رايت واحد يحاول الاعتراف علي نفسه,لكئن رئايت واحئد وحايل ائلاعتراف عئلي نفئسه,لكئن رايت واحد يئحاول الائعتراف علئي نفسه
